Protein ID,Annotation,# proteins in the group,# Unique peptides, P-Value HF:PG_Pyr,Fold change PG_Pyr/HF,Fold change HF/PG_Pyr, P-Value HF:PG_Pyr_Xyl:,Fold changePG_Pyr_Xyl/HF,Fold change HF/PG_Pyr_Xyl, P-Value HF:WT,Fold change WT/HF,Fold change HF/WT,P-Value PG_Pyr/PG_Pyr_Xyl,Fold change PG_Pyr_Xyl/ PG_Pyr,Fold change PG_Pyr/ PG_Pyr_Xyl,P-Value PG_Pyr:WT,Fold change WT/ PG_Pyr,Fold change PG_Pyr/WT,P-Value PG_Pyr_Xyl:WT,Fold change WT/ PG_Pyr_Xyl,Fold change PG_Pyr_Xyl/WT,HF1a,HF1b,HF1c,PG1-pyr,PG2-pyr,PG5-pyr,PG1-pyrXyl,PG2-pyrXyl,PG5-pyrXyl,WTa,WTb,WTc
U5M3X7,U5M3X7_ECOLI Glutathione S-transferase-like protein OS=Escherichia coli C321.deltaA GN=yibF PE=3 SV=1,1,3,0.00001,0.1,8.6,0.00195,0.1,12.9,0.41913,1.1,0.9,0.30599,0.7,1.5,0.00001,9.4,0.1,0.00174,14.2,0.1,9.51E+09,1.20E+10,9.95E+09,1.20E+09,1.18E+09,1.27E+09,5.40E+08,1.62E+09,6.11E+08,1.15E+10,1.32E+10,9.95E+09
U5M4X1,U5M4X1_ECOLI Inner membrane protein OS=Escherichia coli C321.deltaA GN=yidI PE=4 SV=1,1,1,0.00001,0.0,190088743.853771,0.09106,0.0,520531.3,0.06855,0.0,813379.8,0.37390,365.2,0.0,0.37390,233.7,0.0,0.95836,0.6,1.6,4.70E+08,3.00E+08,4.88E+07,1.00E+00,1.00E+00,1.00E+00,1.00E+00,4.87E+07,1.00E+00,1.00E+00,1.00E+00,1.28E+07
U5M1N1,U5M1N1_ECOLI N-acetylmuramic acid 6-phosphate etherase OS=Escherichia coli C321.deltaA GN=murQ PE=2 SV=1,1,2,0.00001,93245304.0,0.0,0.00000,236194160,0.0,1.00000,1.0,1.0,0.26739,2.5,0.4,0.00001,0.0,93245301.7,0.00000,0.0,236194164.0,1.00E+00,1.00E+00,1.00E+00,2.53E+07,2.71E+08,1.18E+08,1.86E+08,2.04E+08,3.47E+08,1.00E+00,1.00E+00,1.00E+00
U5M2Z0,U5M2Z0_ECOLI Chemotaxis regulator transmitting signal to flagellar motor component OS=Escherichia coli C321.deltaA GN=cheY PE=4 SV=1,1,2,0.00002,0.0,506151697.772981,0.03137,0.0,4776492.8,0.05971,0.0,2033464.2,0.37390,106.0,0.0,0.37390,248.9,0.0,0.91160,2.3,0.4,1.02E+08,1.18E+09,1.08E+09,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.19E+06,1.00E+00,1.00E+00,1.54E+07,1.00E+00
U5M6N1,U5M6N1_ECOLI Pyruvate formate-lyase 4/2-ketobutyrate formate-lyase OS=Escherichia coli C321.deltaA GN=tdcE PE=3 SV=1,3,2,0.00002,381143328,0.0,0.11899,114503.1,0.0,1.00000,1.0,1.0,0.24480,0.0,3328.7,0.00002,0.0,381143341.0,0.11899,0.0,114503.1,1.00E+00,1.00E+00,1.00E+00,9.62E+07,2.01E+09,2.86E+08,8.76E+06,1.00E+00,1.71E+08,1.00E+00,1.00E+00,1.00E+00
U5LXR6,"U5LXR6_ECOLI Macrolide transporter subunit, membrane fusion protein (MFP) component OS=Escherichia coli C321.deltaA GN=macA PE=4 SV=1",1,2,0.00004,93605432.0,0.0,0.00098,16108232.0,0.0,1.00000,1.0,1.0,0.45404,0.2,5.8,0.00004,0.0,93605432.9,0.00098,0.0,16108231.3,1.00E+00,1.00E+00,1.00E+00,5.62E+08,5.28E+07,2.77E+07,3.98E+05,2.45E+08,4.29E+07,1.00E+00,1.00E+00,1.00E+00
U5LVJ2,U5LVJ2_ECOLI DNA-binding transcriptional repressor-activator for carbon metabolism OS=Escherichia coli C321.deltaA GN=cra PE=4 SV=1,1,7,0.00004,3.2,0.3,0.00001,3.1,0.3,0.08917,1.2,0.9,0.85239,1.0,1.0,0.00027,0.4,2.7,0.00015,0.4,2.7,6.57E+09,6.73E+09,7.04E+09,2.39E+10,1.97E+10,2.10E+10,2.12E+10,2.25E+10,1.99E+10,7.68E+09,8.80E+09,7.13E+09
U5M289,U5M289_ECOLI Putative membrane fusion protein (MFP) of YdhJK efflux pump OS=Escherichia coli C321.deltaA GN=ydhJ PE=4 SV=1,1,3,0.00007,16.4,0.1,0.00015,27.4,0.0,0.27261,0.8,1.3,0.12859,1.7,0.6,0.00029,0.0,21.8,0.00031,0.0,36.5,2.32E+08,2.73E+08,2.16E+08,4.25E+09,4.82E+09,2.95E+09,5.61E+09,1.02E+10,4.92E+09,2.22E+08,1.17E+08,2.23E+08
U5M7S6,U5M7S6_ECOLI Cytoplasmic trehalase OS=Escherichia coli C321.deltaA GN=treF PE=3 SV=1,1,1,0.00007,0.0,35425491.3,0.00007,0.0,35425491.3,0.00007,0.0,35425491.3,1.00000,1.0,1.0,1.00000,1.0,1.0,1.00000,1.0,1.0,2.38E+08,2.50E+07,7.49E+06,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
U5M1E3,U5M1E3_ECOLI Fused predicted dihydroxyacetone-specific PTS enzymes: HPr component/EI component OS=Escherichia coli C321.deltaA GN=dhaM PE=4 SV=1,1,11,0.00009,0.3,3.2,0.80159,1.0,1.0,0.00040,0.2,4.1,0.00142,3.1,0.3,0.11307,0.8,1.3,0.00154,0.3,3.9,2.80E+10,3.00E+10,2.44E+10,8.00E+09,8.51E+09,9.23E+09,2.18E+10,3.43E+10,2.43E+10,6.07E+09,8.41E+09,5.90E+09
U5M477,U5M477_ECOLI Long-chain fatty acid outer membrane transporter OS=Escherichia coli C321.deltaA GN=fadL PE=4 SV=1,1,6,0.00010,6.7,0.2,0.00090,3.9,0.3,0.00081,8.3,0.1,0.04154,0.6,1.7,0.43190,1.2,0.8,0.04761,2.1,0.5,2.90E+09,3.12E+09,3.41E+09,1.97E+10,2.58E+10,1.78E+10,1.48E+10,9.13E+09,1.32E+10,2.19E+10,4.08E+10,1.97E+10
U5LVJ1,U5LVJ1_ECOLI 4-hydroxy-tetrahydrodipicolinate reductase OS=Escherichia coli C321.deltaA GN=dapB PE=3 SV=1,1,9,0.00015,0.3,3.5,0.04666,0.4,2.3,0.00220,0.5,2.0,0.24112,1.5,0.7,0.00197,1.8,0.6,0.61157,1.2,0.8,1.36E+11,1.29E+11,1.06E+11,3.38E+10,3.87E+10,3.33E+10,3.74E+10,9.34E+10,4.17E+10,5.75E+10,7.01E+10,5.88E+10
U5M2L0,U5M2L0_ECOLI OriC-binding complex H-NS/Cnu binds 26 bp cnb site also forms a complex with StpA OS=Escherichia coli C321.deltaA GN=cnu PE=4 SV=1,1,2,0.00019,0.1,9.5,0.01436,0.3,3.3,0.00734,0.4,2.6,0.02996,2.9,0.3,0.00600,3.7,0.3,0.52895,1.3,0.8,1.22E+10,1.20E+10,1.04E+10,1.40E+09,1.45E+09,8.73E+08,5.25E+09,2.05E+09,4.08E+09,4.93E+09,5.71E+09,3.12E+09
U5M649,U5M649_ECOLI Penicillin-binding protein activator LpoA OS=Escherichia coli C321.deltaA GN=lpoA PE=1 SV=1,1,12,0.00020,0.6,1.6,0.54678,1.1,0.9,0.05775,1.4,0.7,0.01986,1.8,0.6,0.00299,2.2,0.4,0.31485,1.2,0.8,2.77E+10,2.97E+10,2.88E+10,1.69E+10,1.88E+10,1.78E+10,2.58E+10,4.26E+10,2.91E+10,3.31E+10,4.98E+10,3.78E+10
U5LZ03,U5LZ03_ECOLI Ribosomal-protein-L7/L12-serine acetyltransferase OS=Escherichia coli C321.deltaA GN=rimL PE=4 SV=1,1,1,0.00021,3.2,0.3,0.71546,1.2,0.8,0.04111,0.7,1.4,0.08948,0.4,2.7,0.00004,0.2,4.4,0.33657,0.6,1.6,9.38E+08,1.20E+09,9.42E+08,3.50E+09,3.17E+09,3.12E+09,5.58E+08,2.57E+09,1.26E+09,6.80E+08,8.46E+08,7.27E+08
U5M322,U5M322_ECOLI Antitoxin of CptAB toxin-antitoxin pair OS=Escherichia coli C321.deltaA GN=cptB PE=4 SV=1,1,1,0.00023,3.4,0.3,0.00633,2.0,0.5,0.00033,3.0,0.3,0.02073,0.6,1.7,0.29689,0.9,1.1,0.04876,1.5,0.7,1.60E+09,1.67E+09,1.38E+09,6.22E+09,4.92E+09,4.89E+09,2.95E+09,3.92E+09,2.61E+09,3.99E+09,4.91E+09,5.13E+09
U5M277,U5M277_ECOLI Stationary-phase-induced ribosome-associated protein OS=Escherichia coli C321.deltaA GN=sra PE=4 SV=1,1,4,0.00024,0.3,3.2,0.00029,0.5,1.9,0.30094,0.9,1.1,0.00239,1.7,0.6,0.00138,2.8,0.4,0.00961,1.6,0.6,1.23E+11,1.24E+11,1.06E+11,4.01E+10,3.15E+10,3.95E+10,6.41E+10,6.39E+10,6.18E+10,8.45E+10,1.20E+11,1.06E+11
U5M1P8,U5M1P8_ECOLI Putative flavoprotein OS=Escherichia coli C321.deltaA GN=yqcA PE=4 SV=1,1,1,0.00029,1.8,0.6,0.00201,1.9,0.5,0.00605,0.7,1.5,0.77536,1.0,1.0,0.00039,0.4,2.8,0.00086,0.4,2.8,4.24E+09,4.41E+09,4.32E+09,8.42E+09,7.13E+09,7.99E+09,7.38E+09,7.42E+09,9.59E+09,2.54E+09,2.73E+09,3.30E+09
U5M3W4,U5M3W4_ECOLI 50S ribosomal protein L36 OS=Escherichia coli C321.deltaA GN=rpmJ PE=3 SV=1,1,1,0.00031,0.4,2.5,0.00348,0.7,1.4,0.46614,0.9,1.1,0.00055,1.8,0.6,0.00173,2.3,0.4,0.04928,1.3,0.8,6.39E+10,7.44E+10,7.74E+10,3.15E+10,2.74E+10,2.63E+10,4.86E+10,5.05E+10,4.98E+10,5.65E+10,7.88E+10,6.27E+10
U5LZE9,U5LZE9_ECOLI Glutaminase OS=Escherichia coli C321.deltaA GN=glsA PE=3 SV=1,1,3,0.00034,0.3,3.7,0.07460,0.2,4.4,0.00040,0.1,8.0,0.81281,0.9,1.2,0.01918,0.5,2.1,0.39483,0.5,1.8,1.47E+10,1.86E+10,1.70E+10,4.83E+09,3.70E+09,4.96E+09,1.98E+09,1.30E+10,2.16E+09,1.73E+09,2.97E+09,1.75E+09
U5M1Y5,U5M1Y5_ECOLI Rac prophage predicted tail fiber protein OS=Escherichia coli C321.deltaA GN=stfR PE=4 SV=1,1,1,0.00037,0.5,2.2,0.82216,1.0,1.0,0.08597,1.2,0.8,0.01931,2.1,0.5,0.00092,2.6,0.4,0.29004,1.3,0.8,5.20E+10,5.27E+10,5.03E+10,2.69E+10,2.39E+10,2.13E+10,3.89E+10,7.03E+10,4.42E+10,5.30E+10,6.80E+10,6.96E+10
U5M3C3,U5M3C3_ECOLI Putative transporter subunit: periplasmic-binding component of ABC superfamily OS=Escherichia coli C321.deltaA GN=ygiS PE=4 SV=1,1,8,0.00039,28.2,0.0,0.00068,28.6,0.0,0.00973,3.3,0.3,0.97241,1.0,1.0,0.00151,0.1,8.6,0.00282,0.1,8.7,1.15E+09,1.63E+09,2.31E+09,2.96E+10,6.31E+10,5.20E+10,2.74E+10,5.01E+10,7.38E+10,7.05E+09,4.05E+09,5.43E+09
U5M3V9,U5M3V9_ECOLI 50S ribosomal protein L17 OS=Escherichia coli C321.deltaA GN=rplQ PE=3 SV=1,1,9,0.00047,0.5,2.1,0.81262,1.0,1.0,0.76689,1.0,1.0,0.00300,2.2,0.5,0.00064,2.2,0.5,0.96547,1.0,1.0,5.48E+11,6.48E+11,5.82E+11,3.07E+11,2.68E+11,2.57E+11,5.29E+11,7.58E+11,5.65E+11,5.45E+11,6.73E+11,6.07E+11
U5LY46,U5LY46_ECOLI Uncharacterized protein OS=Escherichia coli C321.deltaA GN=ydcH PE=4 SV=1,1,9,0.00048,9.4,0.1,0.00542,6.4,0.2,0.00394,2.5,0.4,0.35217,0.7,1.5,0.00355,0.3,3.8,0.05015,0.4,2.6,4.41E+09,5.04E+09,3.50E+09,4.84E+10,4.82E+10,2.76E+10,1.93E+10,5.15E+10,2.01E+10,8.95E+09,1.30E+10,1.02E+10
U5LYF8,U5LYF8_ECOLI Glucose dehydrogenase OS=Escherichia coli C321.deltaA GN=gcd PE=4 SV=1,1,14,0.00049,0.2,4.4,0.05615,0.4,2.4,0.00005,0.2,4.9,0.15983,1.8,0.5,0.47645,0.9,1.1,0.09785,0.5,2.0,1.92E+10,2.42E+10,2.06E+10,5.50E+09,5.34E+09,3.71E+09,7.63E+09,1.62E+10,5.37E+09,3.93E+09,4.69E+09,4.28E+09
U5M1S8,U5M1S8_ECOLI Phosphoribosylaminoimidazole-succinocarboxamide synthase OS=Escherichia coli C321.deltaA GN=purC PE=3 SV=1,1,25,0.00050,1.8,0.6,0.02277,1.9,0.5,0.04483,0.8,1.2,0.74807,1.1,0.9,0.00062,0.5,2.2,0.01066,0.4,2.3,4.70E+11,5.15E+11,4.73E+11,8.08E+11,9.50E+11,8.50E+11,6.53E+11,1.16E+12,1.04E+12,3.88E+11,4.46E+11,3.57E+11
U5LXW4,U5LXW4_ECOLI Outer membrane porin 1a (IabF) OS=Escherichia coli C321.deltaA GN=ompF PE=3 SV=1,3,28,0.00052,7.1,0.1,0.00061,9.6,0.1,0.00001,12.5,0.1,0.35743,1.3,0.7,0.04397,1.8,0.6,0.31480,1.3,0.8,2.03E+11,2.53E+11,2.38E+11,1.25E+12,2.31E+12,1.53E+12,1.46E+12,3.11E+12,2.37E+12,2.51E+12,3.01E+12,3.17E+12
U5M297,U5M297_ECOLI Uncharacterized protein OS=Escherichia coli C321.deltaA GN=ygaM PE=4 SV=1,1,4,0.00053,0.2,5.1,0.06619,0.3,3.1,0.07469,0.7,1.5,0.34494,1.6,0.6,0.00415,3.4,0.3,0.19453,2.1,0.5,1.18E+11,1.21E+11,9.72E+10,2.72E+10,2.32E+10,1.66E+10,2.24E+10,8.77E+10,2.39E+10,6.20E+10,1.01E+11,6.72E+10
U5M037,"U5M037_ECOLI Stress protein, member of the CspA-family OS=Escherichia coli C321.deltaA GN=cspC PE=3 SV=1",2,6,0.00053,0.4,2.6,0.03760,0.6,1.7,0.05430,1.3,0.7,0.08321,1.5,0.7,0.00054,3.5,0.3,0.01243,2.3,0.4,1.06E+12,9.22E+11,8.91E+11,3.55E+11,4.24E+11,3.25E+11,6.60E+11,6.60E+11,4.00E+11,1.06E+12,1.43E+12,1.40E+12
U5M6H5,U5M6H5_ECOLI 50S ribosomal protein L9 OS=Escherichia coli C321.deltaA GN=rplI PE=3 SV=1,1,16,0.00064,0.6,1.8,0.28404,0.9,1.1,0.05703,1.1,0.9,0.00122,1.7,0.6,0.00011,2.0,0.5,0.01454,1.2,0.8,4.70E+11,4.99E+11,4.33E+11,2.84E+11,2.46E+11,2.52E+11,4.50E+11,4.55E+11,3.97E+11,5.34E+11,5.26E+11,5.10E+11
U5LY92,"U5LY92_ECOLI Lipoyl-dependent Cys-based peroxidase, hydroperoxide resistance salt-shock inducible membrane protein peroxiredoxin OS=Escherichia coli C321.deltaA GN=osmC PE=4 SV=1",1,12,0.00068,0.2,5.6,0.01837,0.2,4.8,0.00222,0.3,3.1,0.72850,1.2,0.8,0.05841,1.8,0.5,0.36806,1.5,0.6,7.08E+11,6.05E+11,5.82E+11,1.56E+11,1.02E+11,8.82E+10,9.22E+10,2.94E+11,8.43E+10,1.63E+11,2.71E+11,1.91E+11
U5LVY1,U5LVY1_ECOLI D-alanyl-D-alanine carboxypeptidase (Penicillin-binding protein 5) OS=Escherichia coli C321.deltaA GN=dacA PE=3 SV=1,2,13,0.00069,0.5,2.0,0.73858,1.0,1.0,0.99673,1.0,1.0,0.00034,2.0,0.5,0.00035,2.0,0.5,0.67962,1.0,1.0,1.63E+11,1.89E+11,1.57E+11,9.03E+10,7.63E+10,8.41E+10,1.72E+11,1.70E+11,1.54E+11,1.62E+11,1.83E+11,1.63E+11
U5M0S8,"U5M0S8_ECOLI Conserved protein, DUF1323 family N-terminal HTH domain of the MerR superfamily OS=Escherichia coli C321.deltaA GN=yfeD PE=4 SV=1",1,1,0.00075,3.9,0.3,0.86247,0.9,1.1,0.95378,1.0,1.0,0.05254,0.2,4.3,0.00228,0.3,3.9,0.85346,1.1,0.9,4.43E+08,5.21E+08,5.37E+08,1.55E+09,1.94E+09,2.47E+09,1.17E+09,1.96E+08,4.06E+08,4.06E+08,6.59E+08,4.76E+08
U5LY95,U5LY95_ECOLI Sensory histidine kinase in two-component regulatory system with PhoP OS=Escherichia coli C321.deltaA GN=phoQ PE=4 SV=1,1,5,0.00075,7.6,0.1,0.07709,4.2,0.2,0.00041,11.5,0.1,0.37050,0.5,1.8,0.11743,1.5,0.7,0.16503,2.8,0.4,6.71E+08,3.78E+08,4.91E+08,3.22E+09,5.03E+09,3.36E+09,6.79E+08,4.72E+09,2.80E+09,5.29E+09,7.72E+09,4.63E+09
U5LW54,U5LW54_ECOLI Succinyl-CoA ligase [ADP-forming] subunit beta OS=Escherichia coli C321.deltaA GN=sucC PE=3 SV=1,1,28,0.00075,3.5,0.3,0.05069,2.7,0.4,0.00008,9.1,0.1,0.53730,0.8,1.3,0.00599,2.6,0.4,0.03261,3.4,0.3,1.88E+11,2.02E+11,1.76E+11,6.87E+11,7.96E+11,5.14E+11,2.99E+11,1.00E+12,4.37E+11,1.33E+12,1.99E+12,1.88E+12
U5LZ39,U5LZ39_ECOLI Ethanol-active dehydrogenase/acetaldehyde-active reductase OS=Escherichia coli C321.deltaA GN=adhP PE=3 SV=1,1,8,0.00077,0.2,5.7,0.00409,0.3,3.1,0.00462,0.2,4.3,0.07526,1.8,0.5,0.42276,1.3,0.8,0.33732,0.7,1.4,2.64E+10,2.34E+10,2.16E+10,5.33E+09,2.94E+09,4.62E+09,6.34E+09,6.45E+09,1.10E+10,5.55E+09,8.38E+09,3.53E+09
U5LVE2,U5LVE2_ECOLI 30S ribosomal protein S20 OS=Escherichia coli C321.deltaA GN=rpsT PE=3 SV=1,1,9,0.00077,0.5,2.2,0.32181,0.8,1.2,0.46293,1.1,0.9,0.03548,1.8,0.6,0.00163,2.4,0.4,0.23796,1.3,0.8,4.40E+11,4.29E+11,4.07E+11,2.26E+11,1.86E+11,1.71E+11,3.49E+11,4.71E+11,2.60E+11,3.89E+11,4.91E+11,4.89E+11
U5M5D6,U5M5D6_ECOLI Sensory histidine kinase in two-component regulatory system with GlnG OS=Escherichia coli C321.deltaA GN=glnL PE=4 SV=1,1,2,0.00086,0.3,3.8,0.16641,0.4,2.8,0.42054,1.3,0.7,0.62038,1.4,0.7,0.00764,5.1,0.2,0.12064,3.7,0.3,9.81E+08,6.94E+08,7.04E+08,2.44E+08,1.74E+08,2.08E+08,1.03E+08,7.88E+08,2.85E+08,6.41E+08,9.74E+08,1.88E+09
U5M0Z6,U5M0Z6_ECOLI YpfJ OS=Escherichia coli C321.deltaA GN=ypfJ PE=4 SV=1,1,2,0.00087,0.3,3.8,0.00408,0.4,2.3,0.00271,0.3,3.2,0.01879,1.7,0.6,0.39646,1.2,0.9,0.10229,0.7,1.4,3.82E+09,2.79E+09,2.74E+09,9.72E+08,6.85E+08,8.29E+08,1.15E+09,1.41E+09,1.54E+09,7.72E+08,1.24E+09,9.37E+08
U5LYZ6,"U5LYZ6_ECOLI Aldehyde dehydrogenase A, NAD-linked OS=Escherichia coli C321.deltaA GN=aldA PE=3 SV=1",1,27,0.00093,17.9,0.1,0.02461,11.4,0.1,0.00004,35.2,0.0,0.57838,0.6,1.6,0.12290,2.0,0.5,0.18189,3.1,0.3,1.05E+10,1.40E+10,1.02E+10,1.46E+11,3.83E+11,1.54E+11,4.99E+10,4.90E+11,9.00E+10,3.18E+11,5.30E+11,3.88E+11
U5M5S4,U5M5S4_ECOLI 50S ribosomal protein L7/L12 OS=Escherichia coli C321.deltaA GN=rplL PE=3 SV=1,1,13,0.00100,0.5,1.9,0.65792,0.9,1.1,0.06338,0.9,1.1,0.02242,1.7,0.6,0.00334,1.7,0.6,0.72499,0.9,1.1,6.62E+11,6.31E+11,6.82E+11,4.01E+11,3.17E+11,3.45E+11,5.74E+11,8.03E+11,5.06E+11,5.46E+11,5.76E+11,6.30E+11
U5M3D7,U5M3D7_ECOLI YqjK OS=Escherichia coli C321.deltaA GN=yqjK PE=4 SV=1,1,1,0.00101,0.4,2.3,0.05561,0.4,2.6,0.00839,0.6,1.6,0.71695,0.9,1.2,0.04061,1.4,0.7,0.25887,1.6,0.6,5.44E+09,6.51E+09,6.36E+09,2.98E+09,2.29E+09,2.76E+09,1.57E+09,4.72E+09,1.65E+09,3.24E+09,4.33E+09,3.73E+09
U5M131,U5M131_ECOLI Periplasmic trehalase OS=Escherichia coli C321.deltaA GN=treA PE=3 SV=1,1,9,0.00104,0.2,4.3,0.27876,0.4,2.2,0.34828,1.4,0.7,0.37726,1.9,0.5,0.00681,6.0,0.2,0.18816,3.1,0.3,8.78E+09,8.89E+09,8.92E+09,1.90E+09,2.83E+09,1.58E+09,2.64E+09,1.40E+10,1.68E+09,8.84E+09,2.24E+10,9.23E+09
U5M3I0,U5M3I0_ECOLI Putative transporter subunit: periplasmic-binding component of ABC superfamily OS=Escherichia coli C321.deltaA GN=osmF PE=4 SV=1,1,4,0.00106,0.2,5.6,0.04484,0.2,4.7,0.59438,1.1,0.9,0.78657,1.2,0.8,0.00306,6.3,0.2,0.04375,5.4,0.2,1.24E+10,1.12E+10,1.10E+10,3.00E+09,1.90E+09,1.52E+09,1.26E+09,7.06E+09,1.61E+09,1.00E+10,1.96E+10,1.12E+10
U5LZX7,U5LZX7_ECOLI Glutathione peroxidase OS=Escherichia coli C321.deltaA GN=btuE PE=3 SV=1,1,5,0.00108,0.3,3.6,0.00378,0.3,2.9,0.03666,0.6,1.6,0.39761,1.2,0.8,0.01767,2.2,0.5,0.05879,1.8,0.6,6.35E+10,5.26E+10,5.78E+10,2.07E+10,1.58E+10,1.26E+10,1.52E+10,2.71E+10,1.88E+10,2.65E+10,4.18E+10,4.06E+10
